Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Promedio_Mejor_Generacion,Desviacion_Generacion,Promedio_makespam,Desviacion_makespam,Promedio_promedios_tiempos,Desviacion_promedios_tiempos
1,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,166.2,82.14428013331597,1582.572252051799,7.171047581712666,1582.7770274252114,7.167359237552714
1,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,214.63333333333333,80.70016166002411,1563.9631625257186,6.146537793586511,1564.400310689148,6.066005870781907
1,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,151.1,90.78483467461156,1581.345609375652,6.351796458268557,1582.286572514939,5.82656591124387
1,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,259.1333333333333,38.41850607709001,1562.3496860030496,4.47683949191267,1562.9137705369615,4.330717837130874
1,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,172.13333333333333,89.6428674137598,1578.804217767818,5.741800304021228,1579.6708113567483,5.510844746882046
1,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,241.4,48.16179627764785,1564.0757709362929,5.308236149876792,1564.473011967385,5.409770859156439
1,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,160.5,76.29965878714323,1582.1638502852581,6.476679080298217,1582.9312492271908,6.98458944518654
1,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,241.16666666666666,56.6794272312659,1563.3195276227584,4.2444679939818775,1563.9892061793812,3.7091079138242122
1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,161.66666666666666,85.89822901041929,1584.454864468126,5.412327585952189,1585.0422265365642,4.9111477684004665
1,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,246.93333333333334,42.23981887805127,1563.6624874393503,4.2668994511219465,1564.3040204198157,4.570608380011577
1,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,170.4,85.2944595362806,1586.5298120210637,7.117449361530435,1587.0793521718872,7.238895941765328
1,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,255.1,40.583969996658226,1562.3326177950557,4.672949458528656,1562.8969530238533,4.634137612113699
2,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,199.86666666666667,76.95978947088082,1569.1115497254568,6.377743855854006,1569.6047530847832,6.445029087581264
2,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,226.76666666666668,68.39120902034388,1555.1830668484415,5.0604600777459545,1555.6292934507296,5.09031079939661
2,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,236.23333333333332,58.83740502337827,1568.5123260694681,7.0492687582479086,1569.5392504680676,7.159362539903634
2,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,218.23333333333332,66.49017730583155,1553.924585871913,5.486129153874472,1554.2712110557407,5.304116156060124
2,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,217.3,80.86052274089647,1572.6472829200893,4.651258546662658,1573.2403251404294,4.883539748250437
2,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,248.96666666666667,56.1976090627334,1556.173402303154,5.398999509856141,1556.798051506418,5.328119575819921
2,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,200.4,73.99328953730685,1569.5784548216263,4.758285343898106,1570.0755587907147,4.348846049889217
2,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,203.1,76.58907367827705,1557.429892882484,4.9642193674206085,1557.7892187761001,4.755391402701363
2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,221.76666666666668,72.46910558553773,1573.1841956855853,5.365760552199683,1574.2867565752206,4.80977596170222
2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,230.26666666666668,66.38806152196099,1556.2191756283032,5.507688765425822,1557.0095447798735,4.964895673344805
2,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,221.83333333333334,66.35125097349052,1570.0632341675757,3.723937877919359,1570.8390253981536,3.8214804787744745
2,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,231.7,65.11059556763718,1556.7447337495528,4.672675592077094,1557.237433615455,4.562931049979807
3,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,174.7,74.99891953244716,1573.5547180050094,5.376451169971316,1573.9298876464318,5.267920150643432
3,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,230.5,64.25367291259404,1557.5727434860905,3.422044483299278,1558.1182252868152,3.3808331806983056
3,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,198.0,71.93196018844283,1574.6572770768764,6.138200871643701,1575.3593337304933,6.368426083609536
3,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,236.43333333333334,63.61830322907965,1556.814413732759,4.890511304042249,1557.1666051245556,4.782328757996986
3,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,182.9,74.29964960236678,1573.8713511284773,5.747948254512041,1574.290527461054,6.070518983294233
3,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,236.4,56.16269469908001,1557.2772751344921,4.521830104269849,1557.6919338998682,4.28650975473003
3,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,211.76666666666668,64.15911434880464,1574.6087465011567,5.33894596483961,1575.3027228804167,5.3674477378421015
3,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,241.23333333333332,67.1835793429714,1558.3959865309023,4.24661217166882,1558.921086485224,4.289995782094371
3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,148.2,77.75177124049641,1579.2005413209451,5.494393875869855,1579.4592448313583,5.288098160075298
3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,240.83333333333334,48.16214233215741,1558.3394317434615,3.9236393514988706,1558.6399841492107,3.880941714164908
3,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,153.16666666666666,92.07496321245377,1578.4296947659118,5.114781176434118,1578.548070986057,5.104030851640921
3,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,250.1,51.20166349668326,1556.9766044645162,4.419618008182118,1557.3598534693654,4.4412020703880195
4,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,194.93333333333334,75.82053826628051,1575.126789045493,6.972271135236988,1575.8376461933296,6.917974693511959
4,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,220.63333333333333,63.61711076125035,1558.7991140956713,5.060437586127068,1559.1560926915513,4.9396590078528835
4,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,204.56666666666666,71.15969574731592,1573.1563511388958,5.923298718332895,1574.0272364365521,5.420369060444171
4,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,223.2,71.43137531442571,1556.3006089129585,4.788641340569551,1556.9456143089012,4.703482522424027
4,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,209.23333333333332,81.60742162553485,1574.7527503026336,6.978190765083822,1575.2026908377136,6.890672873364407
4,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,227.63333333333333,58.85603905576159,1558.9870969620142,4.701999546910046,1559.506900559736,4.852919831078892
4,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,211.53333333333333,63.98315151788727,1574.4825365142196,5.133858709047306,1575.2169805339233,5.73627561097564
4,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,223.6,66.42787117592673,1559.168051144705,5.649494226822935,1559.484983982274,5.589613291638093
4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,186.2,86.63335345601301,1576.1847572936394,5.4262519288420075,1577.043145575328,5.647599252679793
4,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,242.63333333333333,60.39952233958954,1559.4577401722322,6.135927600310973,1560.1156630314429,5.9568273971684675
4,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,193.16666666666666,84.23165239010699,1576.530079479472,5.433818300479001,1577.2234106844464,5.383898626679148
4,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,244.8,54.704472489411934,1557.439419673487,5.718647374826537,1557.9511636186878,5.637518188593823
5,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,207.93333333333334,66.65502197151382,1569.251762413835,5.892961889511869,1569.5213491368402,5.8650599309892755
5,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,205.46666666666667,72.62075951574506,1554.384737094965,5.876265479028401,1554.6166133424347,5.699617123236395
5,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,221.1,61.709190060565824,1567.5770094926972,5.174957575905683,1568.0418341288341,5.11261484794339
5,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,202.4,84.51263933221203,1555.5170895475514,5.09010833159129,1555.8199042212987,5.133456579015686
5,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,219.06666666666666,55.143032406538055,1570.237117705316,5.705921558101141,1570.540296858767,5.727251114655098
5,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,251.03333333333333,51.866196109321294,1554.2478323275352,5.3029321649012875,1555.0703155329097,5.369384727848297
5,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,215.66666666666666,60.82044423367532,1568.471063392335,5.383771311466231,1568.8014933105712,5.376971817771472
5,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,242.8,59.5450568318097,1554.5473541078468,5.600385729499765,1555.1468436326256,5.547375171973973
5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,186.76666666666668,73.43102948995077,1570.0491772687924,4.605092666416449,1570.6206956743217,4.1979315436065345
5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,212.86666666666667,70.72127579855099,1555.3786368873118,5.10919508479199,1555.7697351560575,4.9890056760128845
5,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,236.2,54.976734891318756,1569.4058634396658,5.76966252523878,1569.9186049561365,5.6098730307676155
5,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,231.86666666666667,68.51062506740423,1554.576058759098,5.308057552379051,1555.186118668221,5.147413121320906
6,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,201.03333333333333,70.65822710393508,1573.6763405518284,6.008682003496248,1574.023470846261,6.020165127683497
6,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,207.8,73.04292549944341,1557.1355390807016,3.95529066459399,1557.4527083525945,3.750732746430199
6,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,185.96666666666667,86.74277604159495,1572.6615609800251,5.2570087630078195,1573.323009396763,5.314981206064994
6,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,235.1,69.09481242067508,1555.6230834759795,4.2646134016505775,1556.107640031557,4.33721621318247
6,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,192.76666666666668,71.8584256252065,1572.129354283387,5.523562873317396,1572.3798373452432,5.508740507251201
6,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,235.7,64.93240517168073,1557.064228820985,4.940948394495326,1557.6429004559495,4.763033632230247
6,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,198.03333333333333,59.29614939718543,1572.3682089179479,5.2153034400660125,1572.7997385805709,5.085592664059427
6,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,218.8,74.60673908730618,1558.333764871368,5.082599312127741,1558.870877467551,5.265873297800858
6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,187.6,77.79486730697819,1575.055071835191,4.717087998086552,1575.4789320843163,4.937267865839558
6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,219.96666666666667,70.05194296123184,1558.1114856446397,5.133070731905728,1558.3099537949658,5.023097311796978
6,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,201.16666666666666,70.79064974948332,1574.4127469824646,5.836642117247942,1574.7344239476975,5.847202553147648
6,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,205.36666666666667,78.44984487505084,1558.2223761635587,5.603549064469119,1558.5035667316467,5.56593531426626
7,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,188.9,75.5222506605013,1575.1156845967437,7.672251775171483,1575.8735887559503,7.519999017777286
7,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,236.2,58.20913543659502,1559.8761443362823,4.639479216401713,1560.4071056093662,4.674018088506775
7,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,226.43333333333334,70.60217996699502,1575.133202766297,5.1919409842629065,1576.176416184395,4.8272046550401075
7,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,240.76666666666668,60.36765709374934,1560.4242549358098,5.769159566186356,1560.8239671340953,5.787630392757928
7,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,209.7,79.56569612590592,1575.273306698183,7.52525690924194,1575.944951121677,7.307493163840398
7,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,241.1,47.53608429756102,1558.7144287677481,5.304889569015658,1559.2670065052905,5.219054080544056
7,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,178.53333333333333,86.10167739698637,1575.316345420704,6.458032358927717,1575.942431045798,6.640371424203387
7,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,209.53333333333333,69.92001999000215,1560.2285988849644,5.27058803526982,1560.7609418660193,5.513415104776973
7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,195.2,78.57541951351033,1575.5733635429476,6.429159673660377,1575.9477119986034,6.161961498593446
7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,236.96666666666667,52.9205542060102,1560.260122453572,6.808301249127788,1560.6446802481078,6.728419452401951
7,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,183.4,72.7819606297017,1578.904849284273,6.2327861452696,1579.3118290549319,6.38104173586317
7,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,246.2,43.34735405360142,1560.3103707872467,5.531335820101437,1560.8042041941364,5.535945728062423
8,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,211.93333333333334,70.59009080274815,1573.7136764414888,5.096141329785234,1573.9906269298742,5.087084275777756
8,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,220.03333333333333,74.14965451280145,1560.5445321206685,6.423680648321052,1560.8765259592546,6.210365714461753
8,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,205.36666666666667,74.77436557488426,1570.7940002240393,5.792181880920147,1571.6583475780508,5.415720971421012
8,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,226.5,69.50601561661084,1559.1200219555017,4.073214834594502,1559.5242661306,3.9623063141012658
8,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,188.23333333333332,75.37478007440133,1573.0538235001745,5.631720587723458,1573.5164912277144,5.51429448280525
8,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,249.46666666666667,51.027195814033114,1560.891392498596,5.42989795062048,1561.3596725387702,5.467148425509601
8,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,209.06666666666666,63.67857504326106,1573.0374386159451,6.97800963406036,1573.521844668886,6.815250112042611
8,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,233.6,64.95229018287192,1561.2247500601434,6.38916074237786,1561.7637449563986,6.261179456148157
8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,207.03333333333333,70.86727922227449,1574.2204721158503,6.755537288451072,1574.8910660006866,6.7447056073400855
8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,219.96666666666667,74.47586201574646,1561.2761202015,6.311770588880919,1561.773473738998,6.185713274653284
8,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,200.7,83.62731363739299,1574.369773531947,6.535636403567311,1575.238926328534,6.00049454881665
8,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,227.7,64.67379685776922,1558.990769710494,5.776495097966892,1559.3832708656687,5.528763291915037
9,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,198.86666666666667,76.93021169387465,1575.452808229248,7.020945929385735,1575.7976506731507,6.874672770289234
9,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,228.36666666666667,64.76029186391034,1556.26677749618,3.9444331325637583,1556.8758873177255,4.20282089360891
9,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,166.46666666666667,82.25642552548638,1573.1765576701523,6.644111911520209,1573.4722187337495,6.452466056551723
9,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,243.73333333333332,50.91435224342755,1555.8539033201034,4.850192312658298,1556.5617013322853,4.864339571792946
9,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,169.63333333333333,90.20225677019829,1574.3381960695149,5.3273263493855865,1574.8996703961088,5.395861487677852
9,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,230.13333333333333,69.05556649805877,1557.5660857175799,4.780526899931299,1557.956172196466,4.720740126983808
9,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,202.36666666666667,77.35519657257429,1574.1511765055438,5.058992097340821,1574.7243148162875,4.633236340661866
9,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,233.8,67.4094028026276,1559.6108260506967,4.7768807192450025,1560.0404880097446,4.713278477290832
9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,217.43333333333334,60.10604613189254,1575.633025682597,4.83850348471086,1575.9882982559616,4.741122069917928
9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,220.63333333333333,72.8392104207112,1557.786981583902,5.473847111099408,1558.1435325658485,5.277043018641862
9,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,157.83333333333334,73.66891607321435,1576.5503309681467,5.172705405247403,1576.6546428412612,5.19847164308456
9,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,238.9,53.715309575191135,1555.873712307774,5.627646947259619,1556.3612884172358,5.7824667171568755
10,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,230.33333333333334,65.25722754704215,1569.9980076274173,5.872538321436417,1570.7068712957848,5.797867181870416
10,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,238.43333333333334,60.99049294672946,1553.9554665156606,6.272128692025714,1554.5978432660688,5.9548430548383475
10,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,224.73333333333332,67.48176424595853,1567.4778858057473,4.778713915545896,1568.0708930012545,4.78540484973137
10,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,248.1,62.115770666693344,1555.072317920871,5.460773066603562,1555.9919027376066,5.067170207215974
10,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,214.26666666666668,64.29079053119847,1570.7313743748166,6.346628439003752,1571.3329444329152,6.188979703169449
10,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,242.16666666666666,62.06175085783699,1555.7262137224438,4.1656036871909405,1556.1737086535259,4.184668933824074
10,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,193.86666666666667,80.97625592103222,1571.4262791287538,6.751104403421686,1571.7945425243836,6.540368183929899
10,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,231.03333333333333,62.7971465051988,1557.310309149354,5.444042581437591,1557.835014501012,5.320348231911635
10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,204.06666666666666,63.12873182322924,1571.2208286417253,5.0096471114596195,1571.4339135104217,4.932743859423706
10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,206.6,81.56892579391011,1556.3385109282347,6.280138309278763,1556.6263923304757,6.193270286948591
10,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,215.6,60.14270385995468,1570.538618880789,5.888092197692484,1570.796926350168,5.934963575402283
10,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,237.6,53.89171774381765,1555.7585941386694,6.813337214259955,1556.3750427676289,6.792505946720242
